Current Position,Past Positions,Skills,Experience,Career Goal
Automation Engineer,"Mechatronics Engineer, Electrical Engineer","Robotics, Circuit Design, Materials Science, Structural Analysis",6+ years,Telecommunications Engineer
Software Engineer,"Network Engineer, Cybersecurity Analyst, DevOps Engineer","Python, Data Science, UI/UX Design",14+ years,System Administrator
Oncologist,"Pediatrician, Cardiologist, Emergency Medicine Physician","Anatomy & Physiology, Medical Ethics, Radiology, Clinical Research",2+ years,Emergency Medicine Physician
Electrical Engineer,Mechanical Engineer,"Circuit Design, Fluid Mechanics, Materials Science, Structural Analysis, Thermodynamics",13+ years,Robotics Engineer
Radiologist,"Genetic Counselor, Pediatrician, Neurologist","Radiology, Anatomy & Physiology, Patient Care, Pharmacology, Emergency Response",12+ years,Emergency Medicine Physician
Emergency Medicine Physician,"Medical Researcher, Neurologist","Anatomy & Physiology, Emergency Response, Patient Care, Medical Ethics, Pharmacology",11+ years,Medical Researcher
Radiologist,"Pediatrician, Surgeon, Clinical Research Coordinator","Pharmacology, Emergency Response, Radiology, Anatomy & Physiology",10+ years,Pathologist
Geotechnical Engineer,"Structural Engineer, Telecommunications Engineer","Robotics, Thermodynamics, Circuit Design, Structural Analysis",7+ years,Renewable Energy Engineer
Mechanical Engineer,Geotechnical Engineer,"Materials Science, Thermodynamics, CAD (Computer-Aided Design), Robotics, Structural Analysis",1+ years,Mechanical Engineer
Aerospace Engineer,"Biomedical Engineer, Civil Engineer","Fluid Mechanics, CAD (Computer-Aided Design), Circuit Design, Materials Science, Structural Analysis",5+ years,Mechanical Engineer
DevOps Engineer,Blockchain Developer,"Machine Learning, SQL, Data Science, Java, C++, UI/UX Design",2+ years,Cybersecurity Analyst
Mobile App Developer,"Cloud Architect, Network Engineer, Game Developer","DevOps, C++, Java, Cloud Computing, Data Science",15+ years,System Administrator
Software Engineer,Blockchain Developer,"Machine Learning, SQL, Data Science, Java, Cybersecurity",3+ years,Cloud Architect
Renewable Energy Engineer,"Robotics Engineer, Civil Engineer","Thermodynamics, Structural Analysis, Materials Science, Circuit Design, CAD (Computer-Aided Design), Robotics",1+ years,Transportation Engineer
Database Administrator,Cybersecurity Analyst,"Java, C++, UI/UX Design",1+ years,AI Research Scientist
System Administrator,"Machine Learning Engineer, AI Research Scientist","C++, UI/UX Design, Python, Java",6+ years,Software Engineer
Data Scientist,"Mobile App Developer, Software Engineer, UI/UX Designer","Cloud Computing, Machine Learning, Python, DevOps, Data Science",14+ years,Machine Learning Engineer
Cardiologist,"Genetic Counselor, Medical Researcher","Emergency Response, Radiology, Medical Ethics, Patient Care, Pharmacology",9+ years,Genetic Counselor
System Administrator,Database Administrator,"Data Science, DevOps, Machine Learning, Java, SQL, UI/UX Design",11+ years,Cloud Architect
Blockchain Developer,"System Administrator, Machine Learning Engineer","C++, Machine Learning, Python, Java, Data Science",7+ years,Database Administrator
Surgeon,"Anesthesiologist, Emergency Medicine Physician","Radiology, Anatomy & Physiology, Emergency Response",15+ years,Medical Researcher
Machine Learning Engineer,IT Project Manager,"Java, Cloud Computing, UI/UX Design, Machine Learning",9+ years,Database Administrator
Oncologist,"Neurologist, Anesthesiologist","Clinical Research, Emergency Response, Pharmacology, Radiology, Patient Care",12+ years,Surgeon
Structural Engineer,"Aerospace Engineer, Civil Engineer, Electrical Engineer","Materials Science, Thermodynamics, CAD (Computer-Aided Design), Fluid Mechanics",15+ years,Mechatronics Engineer
Cardiologist,"Anesthesiologist, General Practitioner","Anatomy & Physiology, Emergency Response, Radiology, Patient Care, Medical Ethics",2+ years,Genetic Counselor
Blockchain Developer,"Machine Learning Engineer, UI/UX Designer, Cloud Architect","Cybersecurity, Python, Cloud Computing, Data Science, UI/UX Design",6+ years,Data Scientist
Game Developer,Software Engineer,"C++, UI/UX Design, Java",6+ years,System Administrator
Pathologist,"Neurologist, General Practitioner","Clinical Research, Emergency Response, Patient Care, Anatomy & Physiology, Pharmacology, Medical Ethics",5+ years,Radiologist
Emergency Medicine Physician,Genetic Counselor,"Pharmacology, Radiology, Medical Ethics, Anatomy & Physiology",3+ years,Oncologist
General Practitioner,Pathologist,"Clinical Research, Emergency Response, Pharmacology",3+ years,Pediatrician
Aerospace Engineer,Biomedical Engineer,"Fluid Mechanics, Structural Analysis, Robotics, Materials Science, Thermodynamics",10+ years,Civil Engineer
Aerospace Engineer,Civil Engineer,"Materials Science, Structural Analysis, Robotics",15+ years,Transportation Engineer
Power Systems Engineer,"Mechanical Engineer, Mechatronics Engineer, Renewable Energy Engineer","Robotics, Fluid Mechanics, Materials Science, Circuit Design, Structural Analysis",6+ years,Robotics Engineer
IT Project Manager,"Data Scientist, AI Research Scientist","DevOps, Java, Python",6+ years,Cybersecurity Analyst
General Practitioner,"Genetic Counselor, Pediatrician","Pharmacology, Emergency Response, Clinical Research, Medical Ethics, Radiology",14+ years,Psychiatrist
Mechatronics Engineer,"Civil Engineer, Transportation Engineer","Thermodynamics, Structural Analysis, Fluid Mechanics, Circuit Design, Robotics",1+ years,Telecommunications Engineer
Genetic Counselor,"Public Health Specialist, Psychiatrist","Radiology, Medical Ethics, Patient Care, Pharmacology, Emergency Response, Anatomy & Physiology",11+ years,Anesthesiologist
Materials Engineer,Civil Engineer,"Circuit Design, CAD (Computer-Aided Design), Materials Science, Structural Analysis",5+ years,Mechatronics Engineer
Aerospace Engineer,Power Systems Engineer,"Structural Analysis, Circuit Design, Fluid Mechanics",5+ years,Electrical Engineer
Automation Engineer,Mechatronics Engineer,"CAD (Computer-Aided Design), Thermodynamics, Fluid Mechanics, Robotics",10+ years,Robotics Engineer
Data Scientist,"AI Research Scientist, Machine Learning Engineer, Blockchain Developer","UI/UX Design, Java, Data Science, Machine Learning, Python",9+ years,System Administrator
General Practitioner,"Oncologist, Pediatrician, Surgeon","Pharmacology, Patient Care, Emergency Response, Medical Ethics",5+ years,Genetic Counselor
Clinical Research Coordinator,"Medical Researcher, Surgeon, Genetic Counselor","Emergency Response, Medical Ethics, Pharmacology, Anatomy & Physiology",13+ years,Pathologist
Emergency Medicine Physician,Medical Researcher,"Patient Care, Anatomy & Physiology, Medical Ethics, Emergency Response",5+ years,Anesthesiologist
UI/UX Designer,"Database Administrator, System Administrator","Cloud Computing, Cybersecurity, C++, Java, UI/UX Design",9+ years,Blockchain Developer
Aerospace Engineer,"Renewable Energy Engineer, Materials Engineer, Robotics Engineer","CAD (Computer-Aided Design), Circuit Design, Robotics, Fluid Mechanics, Structural Analysis",8+ years,Biomedical Engineer
Civil Engineer,Biomedical Engineer,"Thermodynamics, Fluid Mechanics, Circuit Design, CAD (Computer-Aided Design)",8+ years,Geotechnical Engineer
Pathologist,"Psychiatrist, Cardiologist","Patient Care, Medical Ethics, Radiology, Anatomy & Physiology, Emergency Response, Clinical Research",1+ years,General Practitioner
Medical Researcher,"Surgeon, Psychiatrist","Patient Care, Pharmacology, Medical Ethics, Radiology, Clinical Research",13+ years,Surgeon
Mechatronics Engineer,"Automation Engineer, Geotechnical Engineer","Thermodynamics, Robotics, CAD (Computer-Aided Design), Materials Science, Fluid Mechanics",3+ years,Geotechnical Engineer
Electrical Engineer,"Structural Engineer, Civil Engineer, Power Systems Engineer","Fluid Mechanics, CAD (Computer-Aided Design), Materials Science, Circuit Design, Robotics, Thermodynamics",7+ years,Biomedical Engineer
Psychiatrist,General Practitioner,"Pharmacology, Medical Ethics, Emergency Response, Patient Care",10+ years,Public Health Specialist
Materials Engineer,"Mechatronics Engineer, Telecommunications Engineer","Fluid Mechanics, Thermodynamics, Materials Science, Structural Analysis, Robotics, CAD (Computer-Aided Design)",12+ years,Mechanical Engineer
Renewable Energy Engineer,"Telecommunications Engineer, Mechanical Engineer","Structural Analysis, Fluid Mechanics, CAD (Computer-Aided Design), Thermodynamics",13+ years,Power Systems Engineer
Anesthesiologist,"Clinical Research Coordinator, Neurologist","Emergency Response, Patient Care, Pharmacology",15+ years,Pathologist
Machine Learning Engineer,"Data Scientist, Mobile App Developer, System Administrator","Python, DevOps, C++, Cloud Computing",13+ years,Blockchain Developer
Electrical Engineer,"Aerospace Engineer, Mechanical Engineer","Circuit Design, Thermodynamics, Fluid Mechanics",8+ years,Telecommunications Engineer
Cybersecurity Analyst,Machine Learning Engineer,"Machine Learning, UI/UX Design, Cybersecurity, Data Science, Cloud Computing, Python",2+ years,DevOps Engineer
Telecommunications Engineer,Aerospace Engineer,"Circuit Design, CAD (Computer-Aided Design), Materials Science, Robotics, Thermodynamics",8+ years,Mechanical Engineer
Robotics Engineer,Materials Engineer,"Fluid Mechanics, CAD (Computer-Aided Design), Circuit Design, Structural Analysis, Thermodynamics",5+ years,Automation Engineer
Cloud Architect,"UI/UX Designer, Mobile App Developer","UI/UX Design, Data Science, Python, SQL, C++",5+ years,Mobile App Developer
Genetic Counselor,"Emergency Medicine Physician, Pathologist","Anatomy & Physiology, Clinical Research, Pharmacology",2+ years,Oncologist
General Practitioner,Pathologist,"Patient Care, Radiology, Emergency Response",1+ years,Psychiatrist
Robotics Engineer,"Automation Engineer, Civil Engineer, Telecommunications Engineer","Structural Analysis, Fluid Mechanics, CAD (Computer-Aided Design), Thermodynamics",2+ years,Automation Engineer
Pediatrician,"Public Health Specialist, Neurologist","Medical Ethics, Patient Care, Clinical Research, Anatomy & Physiology",8+ years,Pediatrician
Materials Engineer,Telecommunications Engineer,"Robotics, Circuit Design, Thermodynamics",4+ years,Geotechnical Engineer
Electrical Engineer,Civil Engineer,"Materials Science, Robotics, Circuit Design",10+ years,Power Systems Engineer
AI Research Scientist,"DevOps Engineer, Network Engineer","DevOps, Cloud Computing, C++, UI/UX Design, SQL, Python",14+ years,Data Scientist
Blockchain Developer,"UI/UX Designer, IT Project Manager","Data Science, C++, Cybersecurity",9+ years,Network Engineer
DevOps Engineer,"AI Research Scientist, System Administrator, Mobile App Developer","Cybersecurity, Java, C++, Python",12+ years,Database Administrator
Geotechnical Engineer,Transportation Engineer,"Circuit Design, Thermodynamics, Robotics, Fluid Mechanics, Materials Science",9+ years,Geotechnical Engineer
Telecommunications Engineer,Transportation Engineer,"Materials Science, Robotics, Fluid Mechanics, Thermodynamics",2+ years,Civil Engineer
General Practitioner,Pathologist,"Medical Ethics, Anatomy & Physiology, Pharmacology, Clinical Research, Patient Care, Radiology",5+ years,Oncologist
Robotics Engineer,"Geotechnical Engineer, Mechatronics Engineer, Electrical Engineer","Thermodynamics, Fluid Mechanics, CAD (Computer-Aided Design), Robotics, Circuit Design",4+ years,Structural Engineer
Software Engineer,UI/UX Designer,"UI/UX Design, Data Science, Java, DevOps",10+ years,Blockchain Developer
IT Project Manager,"Machine Learning Engineer, Cybersecurity Analyst","Data Science, Cybersecurity, UI/UX Design, SQL, Cloud Computing",6+ years,DevOps Engineer
Transportation Engineer,Automation Engineer,"Thermodynamics, Structural Analysis, Circuit Design, Materials Science, Robotics, CAD (Computer-Aided Design)",1+ years,Mechanical Engineer
Public Health Specialist,Pediatrician,"Pharmacology, Clinical Research, Radiology, Medical Ethics, Patient Care",3+ years,General Practitioner
Machine Learning Engineer,DevOps Engineer,"Machine Learning, C++, UI/UX Design, Java, SQL, DevOps",8+ years,Machine Learning Engineer
Materials Engineer,Geotechnical Engineer,"Circuit Design, Structural Analysis, Materials Science, CAD (Computer-Aided Design), Robotics, Fluid Mechanics",8+ years,Automation Engineer
Mechanical Engineer,"Robotics Engineer, Structural Engineer, Aerospace Engineer","Materials Science, Circuit Design, Thermodynamics, Fluid Mechanics, CAD (Computer-Aided Design)",14+ years,Mechatronics Engineer
Blockchain Developer,Network Engineer,"DevOps, Python, UI/UX Design, Cybersecurity",9+ years,Game Developer
Power Systems Engineer,Mechanical Engineer,"Fluid Mechanics, Circuit Design, Thermodynamics",5+ years,Telecommunications Engineer
Blockchain Developer,Network Engineer,"UI/UX Design, DevOps, Data Science, Cybersecurity, C++, Python",1+ years,Mobile App Developer
Machine Learning Engineer,"Blockchain Developer, IT Project Manager, Network Engineer","Machine Learning, Cybersecurity, UI/UX Design",4+ years,Blockchain Developer
Geotechnical Engineer,Robotics Engineer,"CAD (Computer-Aided Design), Fluid Mechanics, Materials Science, Robotics, Circuit Design",15+ years,Transportation Engineer
Genetic Counselor,"Medical Researcher, Radiologist","Radiology, Patient Care, Emergency Response, Medical Ethics, Pharmacology, Clinical Research",3+ years,Anesthesiologist
Machine Learning Engineer,"IT Project Manager, Game Developer, AI Research Scientist","DevOps, Data Science, Cloud Computing",6+ years,Cybersecurity Analyst
Cloud Architect,Network Engineer,"Cybersecurity, Data Science, UI/UX Design, Machine Learning, SQL, Java",14+ years,Database Administrator
Structural Engineer,"Robotics Engineer, Biomedical Engineer, Materials Engineer","Materials Science, Thermodynamics, Circuit Design, Fluid Mechanics",3+ years,Structural Engineer
Geotechnical Engineer,"Mechanical Engineer, Telecommunications Engineer","Materials Science, Robotics, CAD (Computer-Aided Design)",2+ years,Mechanical Engineer
Oncologist,"Clinical Research Coordinator, Pediatrician","Emergency Response, Clinical Research, Pharmacology",14+ years,Medical Researcher
Pediatrician,"Cardiologist, Oncologist","Clinical Research, Anatomy & Physiology, Medical Ethics, Radiology, Pharmacology, Emergency Response",8+ years,General Practitioner
Cardiologist,"Neurologist, Surgeon, Pathologist","Radiology, Clinical Research, Anatomy & Physiology, Pharmacology, Patient Care",2+ years,Cardiologist
